video_id,label_id,source_frames,distinct_frames,model_input_frames,coverage,stride,config,correct_top1,confidence,model,dataset
signer18_sample243_color,1,55,2,16,10,4,cov10_s4,False,0.08670779317617416,r3d_18,autsl
signer35_sample603_color,1,55,2,16,10,4,cov10_s4,False,0.08438320457935333,r3d_18,autsl
signer18_sample436_color,1,61,2,16,10,4,cov10_s4,False,0.48722898960113525,r3d_18,autsl
signer11_sample397_color,1,38,1,16,10,4,cov10_s4,False,0.5167874693870544,r3d_18,autsl
signer1_sample936_color,1,55,2,16,10,4,cov10_s4,False,0.22039489448070526,r3d_18,autsl
signer16_sample330_color,1,62,2,16,10,4,cov10_s4,False,0.26869094371795654,r3d_18,autsl
signer1_sample57_color,1,51,2,16,10,4,cov10_s4,False,0.327806681394577,r3d_18,autsl
signer1_sample377_color,1,52,2,16,10,4,cov10_s4,False,0.29991093277931213,r3d_18,autsl
signer35_sample92_color,1,51,2,16,10,4,cov10_s4,False,0.0731000080704689,r3d_18,autsl
signer1_sample989_color,1,55,2,16,10,4,cov10_s4,False,0.33065325021743774,r3d_18,autsl
signer25_sample463_color,1,58,2,16,10,4,cov10_s4,False,0.06152217090129852,r3d_18,autsl
signer1_sample198_color,1,51,2,16,10,4,cov10_s4,False,0.7440891861915588,r3d_18,autsl
signer18_sample652_color,1,69,2,16,10,4,cov10_s4,False,0.07340005785226822,r3d_18,autsl
signer11_sample453_color,1,39,1,16,10,4,cov10_s4,False,0.2826431393623352,r3d_18,autsl
signer16_sample126_color,1,67,2,16,10,4,cov10_s4,False,0.42254894971847534,r3d_18,autsl
signer1_sample829_color,1,56,2,16,10,4,cov10_s4,False,0.5389510989189148,r3d_18,autsl
signer11_sample242_color,1,37,1,16,10,4,cov10_s4,False,0.207193523645401,r3d_18,autsl
signer25_sample110_color,1,56,2,16,10,4,cov10_s4,False,0.1851765662431717,r3d_18,autsl
signer11_sample639_color,2,43,1,16,10,4,cov10_s4,False,0.14143884181976318,r3d_18,autsl
signer25_sample375_color,2,44,1,16,10,4,cov10_s4,False,0.13420283794403076,r3d_18,autsl
signer35_sample601_color,2,71,2,16,10,4,cov10_s4,False,0.1931638866662979,r3d_18,autsl
signer1_sample270_color,2,72,2,16,10,4,cov10_s4,False,0.2686866819858551,r3d_18,autsl
signer18_sample120_color,2,64,2,16,10,4,cov10_s4,False,0.15745779871940613,r3d_18,autsl
signer25_sample185_color,2,53,2,16,10,4,cov10_s4,False,0.09539790451526642,r3d_18,autsl
signer18_sample448_color,2,76,2,16,10,4,cov10_s4,False,0.1458454728126526,r3d_18,autsl
signer35_sample159_color,2,59,2,16,10,4,cov10_s4,False,0.15270565450191498,r3d_18,autsl
signer16_sample324_color,2,75,2,16,10,4,cov10_s4,False,0.23484505712985992,r3d_18,autsl
signer18_sample347_color,2,66,2,16,10,4,cov10_s4,False,0.0741109699010849,r3d_18,autsl
signer1_sample950_color,2,72,2,16,10,4,cov10_s4,False,0.6308348178863525,r3d_18,autsl
signer1_sample1100_color,2,70,2,16,10,4,cov10_s4,False,0.4999271631240845,r3d_18,autsl
signer1_sample509_color,2,74,2,16,10,4,cov10_s4,False,0.19561392068862915,r3d_18,autsl
signer11_sample430_color,2,44,1,16,10,4,cov10_s4,False,0.13998976349830627,r3d_18,autsl
signer1_sample169_color,2,70,2,16,10,4,cov10_s4,False,0.46518784761428833,r3d_18,autsl
signer16_sample56_color,2,69,2,16,10,4,cov10_s4,False,0.20671282708644867,r3d_18,autsl
signer25_sample220_color,2,47,2,16,10,4,cov10_s4,False,0.08070950210094452,r3d_18,autsl
signer35_sample426_color,2,62,2,16,10,4,cov10_s4,False,0.09808620065450668,r3d_18,autsl
signer11_sample142_color,2,44,1,16,10,4,cov10_s4,False,0.14795757830142975,r3d_18,autsl
signer1_sample432_color,2,76,2,16,10,4,cov10_s4,False,0.22691543400287628,r3d_18,autsl
signer1_sample648_color,3,65,2,16,10,4,cov10_s4,False,0.5475741624832153,r3d_18,autsl
signer16_sample315_color,3,71,2,16,10,4,cov10_s4,False,0.39659059047698975,r3d_18,autsl
signer11_sample327_color,3,43,1,16,10,4,cov10_s4,False,0.20534291863441467,r3d_18,autsl
signer18_sample323_color,3,62,2,16,10,4,cov10_s4,False,0.5231277346611023,r3d_18,autsl
signer11_sample565_color,3,46,2,16,10,4,cov10_s4,False,0.3328929543495178,r3d_18,autsl
signer18_sample138_color,3,76,2,16,10,4,cov10_s4,False,0.2134556919336319,r3d_18,autsl
signer1_sample1092_color,3,73,2,16,10,4,cov10_s4,False,0.22406885027885437,r3d_18,autsl
signer1_sample166_color,3,59,2,16,10,4,cov10_s4,False,0.6229177713394165,r3d_18,autsl
signer25_sample212_color,3,63,2,16,10,4,cov10_s4,False,0.1803966462612152,r3d_18,autsl
signer18_sample500_color,3,76,2,16,10,4,cov10_s4,False,0.09858360141515732,r3d_18,autsl
signer25_sample536_color,3,61,2,16,10,4,cov10_s4,False,0.14430920779705048,r3d_18,autsl
signer1_sample709_color,3,68,2,16,10,4,cov10_s4,False,0.1722325086593628,r3d_18,autsl
signer11_sample341_color,3,43,1,16,10,4,cov10_s4,False,0.10269452631473541,r3d_18,autsl
signer35_sample119_color,3,78,2,16,10,4,cov10_s4,False,0.19201287627220154,r3d_18,autsl
signer1_sample68_color,3,68,2,16,10,4,cov10_s4,False,0.10426975041627884,r3d_18,autsl
signer1_sample118_color,3,63,2,16,10,4,cov10_s4,False,0.5780557990074158,r3d_18,autsl
signer16_sample14_color,3,73,2,16,10,4,cov10_s4,False,0.45387277007102966,r3d_18,autsl
signer35_sample554_color,3,73,2,16,10,4,cov10_s4,False,0.1191471591591835,r3d_18,autsl
signer25_sample92_color,3,59,2,16,10,4,cov10_s4,False,0.07474060356616974,r3d_18,autsl
signer18_sample268_color,4,65,2,16,10,4,cov10_s4,False,0.09932881593704224,r3d_18,autsl
signer16_sample77_color,4,64,2,16,10,4,cov10_s4,False,0.22089819610118866,r3d_18,autsl
signer35_sample501_color,4,82,2,16,10,4,cov10_s4,False,0.2269546091556549,r3d_18,autsl
signer35_sample93_color,4,80,2,16,10,4,cov10_s4,False,0.1835854947566986,r3d_18,autsl
signer11_sample544_color,4,48,2,16,10,4,cov10_s4,False,0.12975238263607025,r3d_18,autsl
signer16_sample102_color,4,63,2,16,10,4,cov10_s4,False,0.3144592344760895,r3d_18,autsl
signer25_sample104_color,4,59,2,16,10,4,cov10_s4,False,0.07521039992570877,r3d_18,autsl
signer25_sample109_color,4,59,2,16,10,4,cov10_s4,False,0.07237524539232254,r3d_18,autsl
signer1_sample102_color,4,66,2,16,10,4,cov10_s4,False,0.44949111342430115,r3d_18,autsl
signer1_sample653_color,4,66,2,16,10,4,cov10_s4,False,0.37286627292633057,r3d_18,autsl
signer11_sample658_color,4,41,1,16,10,4,cov10_s4,False,0.45878779888153076,r3d_18,autsl
signer1_sample1326_color,4,66,2,16,10,4,cov10_s4,False,0.4065270721912384,r3d_18,autsl
signer35_sample61_color,4,81,2,16,10,4,cov10_s4,False,0.236783966422081,r3d_18,autsl
signer1_sample548_color,4,64,2,16,10,4,cov10_s4,False,0.21914659440517426,r3d_18,autsl
signer11_sample44_color,4,41,1,16,10,4,cov10_s4,False,0.6060799360275269,r3d_18,autsl
signer1_sample127_color,4,62,2,16,10,4,cov10_s4,False,0.6202645301818848,r3d_18,autsl
signer18_sample362_color,4,72,2,16,10,4,cov10_s4,False,0.12039750814437866,r3d_18,autsl
signer25_sample72_color,4,53,2,16,10,4,cov10_s4,False,0.09337767213582993,r3d_18,autsl
signer1_sample1040_color,4,67,2,16,10,4,cov10_s4,False,0.29050886631011963,r3d_18,autsl
signer18_sample332_color,4,75,2,16,10,4,cov10_s4,False,0.061120666563510895,r3d_18,autsl
signer18_sample343_color,5,66,2,16,10,4,cov10_s4,False,0.12334702163934708,r3d_18,autsl
signer1_sample1130_color,5,61,2,16,10,4,cov10_s4,False,0.481275737285614,r3d_18,autsl
signer35_sample555_color,5,58,2,16,10,4,cov10_s4,False,0.23123759031295776,r3d_18,autsl
signer25_sample221_color,5,68,2,16,10,4,cov10_s4,False,0.08638603985309601,r3d_18,autsl
signer35_sample234_color,5,58,2,16,10,4,cov10_s4,False,0.15624971687793732,r3d_18,autsl
signer11_sample619_color,5,47,2,16,10,4,cov10_s4,False,0.2843308448791504,r3d_18,autsl
signer25_sample56_color,5,69,2,16,10,4,cov10_s4,False,0.09244631975889206,r3d_18,autsl
signer16_sample176_color,5,61,2,16,10,4,cov10_s4,False,0.2992578148841858,r3d_18,autsl
signer18_sample645_color,5,60,2,16,10,4,cov10_s4,False,0.16055002808570862,r3d_18,autsl
signer11_sample180_color,5,49,2,16,10,4,cov10_s4,False,0.18674923479557037,r3d_18,autsl
signer35_sample20_color,5,62,2,16,10,4,cov10_s4,False,0.22625590860843658,r3d_18,autsl
signer11_sample592_color,5,46,2,16,10,4,cov10_s4,False,0.18534736335277557,r3d_18,autsl
signer1_sample1249_color,5,61,2,16,10,4,cov10_s4,False,0.5395194888114929,r3d_18,autsl
signer1_sample511_color,5,56,2,16,10,4,cov10_s4,False,0.5513814091682434,r3d_18,autsl
signer16_sample161_color,5,67,2,16,10,4,cov10_s4,False,0.32141730189323425,r3d_18,autsl
signer25_sample423_color,5,66,2,16,10,4,cov10_s4,False,0.11918028444051743,r3d_18,autsl
signer1_sample838_color,5,61,2,16,10,4,cov10_s4,False,0.4265664219856262,r3d_18,autsl
signer1_sample282_color,5,60,2,16,10,4,cov10_s4,False,0.6654766201972961,r3d_18,autsl
signer1_sample700_color,5,61,2,16,10,4,cov10_s4,False,0.37278494238853455,r3d_18,autsl
signer18_sample601_color,5,62,2,16,10,4,cov10_s4,False,0.19047464430332184,r3d_18,autsl
signer35_sample631_color,6,70,2,16,10,4,cov10_s4,False,0.26040881872177124,r3d_18,autsl
signer18_sample622_color,6,74,2,16,10,4,cov10_s4,False,0.17360816895961761,r3d_18,autsl
signer25_sample55_color,6,62,2,16,10,4,cov10_s4,False,0.08821152150630951,r3d_18,autsl
signer16_sample107_color,6,67,2,16,10,4,cov10_s4,False,0.9323673844337463,r3d_18,autsl
signer35_sample460_color,6,52,2,16,10,4,cov10_s4,False,0.09745599329471588,r3d_18,autsl
signer18_sample290_color,6,73,2,16,10,4,cov10_s4,False,0.21717111766338348,r3d_18,autsl
signer11_sample145_color,6,48,2,16,10,4,cov10_s4,False,0.4792286455631256,r3d_18,autsl
signer11_sample228_color,6,48,2,16,10,4,cov10_s4,False,0.17400234937667847,r3d_18,autsl
signer16_sample242_color,6,72,2,16,10,4,cov10_s4,False,0.8396868705749512,r3d_18,autsl
signer25_sample23_color,6,64,2,16,10,4,cov10_s4,False,0.3024918735027313,r3d_18,autsl
signer1_sample944_color,0,57,1,16,10,8,cov10_s8,False,0.6979739665985107,r3d_18,autsl
signer1_sample276_color,0,65,1,16,10,8,cov10_s8,False,0.28032660484313965,r3d_18,autsl
signer35_sample610_color,0,71,1,16,10,8,cov10_s8,True,0.27401459217071533,r3d_18,autsl
signer35_sample390_color,0,75,1,16,10,8,cov10_s8,True,0.2601953446865082,r3d_18,autsl
signer18_sample539_color,0,64,1,16,10,8,cov10_s8,False,0.07255104184150696,r3d_18,autsl
signer1_sample778_color,0,63,1,16,10,8,cov10_s8,False,0.27061107754707336,r3d_18,autsl
signer11_sample469_color,0,45,1,16,10,8,cov10_s8,False,0.30718061327934265,r3d_18,autsl
signer1_sample319_color,0,68,1,16,10,8,cov10_s8,False,0.2175639122724533,r3d_18,autsl
signer11_sample120_color,0,48,1,16,10,8,cov10_s8,False,0.43961042165756226,r3d_18,autsl
signer25_sample64_color,0,46,1,16,10,8,cov10_s8,False,0.08378821611404419,r3d_18,autsl
signer16_sample254_color,0,61,1,16,10,8,cov10_s8,True,0.3907446563243866,r3d_18,autsl
signer35_sample286_color,0,61,1,16,10,8,cov10_s8,True,0.6222251057624817,r3d_18,autsl
signer25_sample285_color,0,53,1,16,10,8,cov10_s8,False,0.08826448023319244,r3d_18,autsl
signer18_sample482_color,0,67,1,16,10,8,cov10_s8,False,0.11196848005056381,r3d_18,autsl
signer16_sample365_color,0,58,1,16,10,8,cov10_s8,False,0.2614290714263916,r3d_18,autsl
signer11_sample66_color,0,49,1,16,10,8,cov10_s8,False,0.15809181332588196,r3d_18,autsl
signer1_sample1090_color,0,58,1,16,10,8,cov10_s8,False,0.6281487941741943,r3d_18,autsl
signer18_sample5_color,0,72,1,16,10,8,cov10_s8,False,0.157766655087471,r3d_18,autsl
signer1_sample1094_color,0,61,1,16,10,8,cov10_s8,False,0.4640638828277588,r3d_18,autsl
signer25_sample431_color,0,56,1,16,10,8,cov10_s8,False,0.05636866018176079,r3d_18,autsl
signer25_sample372_color,1,58,1,16,10,8,cov10_s8,False,0.08937688916921616,r3d_18,autsl
signer18_sample243_color,1,55,1,16,10,8,cov10_s8,False,0.06590243428945541,r3d_18,autsl
signer35_sample603_color,1,55,1,16,10,8,cov10_s8,False,0.08579645305871964,r3d_18,autsl
signer18_sample436_color,1,61,1,16,10,8,cov10_s8,False,0.1596103012561798,r3d_18,autsl
signer11_sample397_color,1,38,1,16,10,8,cov10_s8,False,0.5167874693870544,r3d_18,autsl
signer1_sample936_color,1,55,1,16,10,8,cov10_s8,False,0.20277760922908783,r3d_18,autsl
signer16_sample330_color,1,62,1,16,10,8,cov10_s8,False,0.2761947512626648,r3d_18,autsl
signer1_sample57_color,1,51,1,16,10,8,cov10_s8,False,0.23382668197155,r3d_18,autsl
signer1_sample377_color,1,52,1,16,10,8,cov10_s8,False,0.1946222484111786,r3d_18,autsl
signer35_sample92_color,1,51,1,16,10,8,cov10_s8,False,0.16068771481513977,r3d_18,autsl
signer1_sample989_color,1,55,1,16,10,8,cov10_s8,False,0.2133469432592392,r3d_18,autsl
signer25_sample463_color,1,58,1,16,10,8,cov10_s8,False,0.07840081304311752,r3d_18,autsl
signer1_sample198_color,1,51,1,16,10,8,cov10_s8,False,0.6024764180183411,r3d_18,autsl
signer18_sample652_color,1,69,1,16,10,8,cov10_s8,False,0.08503405749797821,r3d_18,autsl
signer11_sample453_color,1,39,1,16,10,8,cov10_s8,False,0.2826431393623352,r3d_18,autsl
signer16_sample126_color,1,67,1,16,10,8,cov10_s8,False,0.23342536389827728,r3d_18,autsl
signer1_sample829_color,1,56,1,16,10,8,cov10_s8,False,0.4331298768520355,r3d_18,autsl
signer11_sample242_color,1,37,1,16,10,8,cov10_s8,False,0.207193523645401,r3d_18,autsl
signer25_sample110_color,1,56,1,16,10,8,cov10_s8,False,0.11759191006422043,r3d_18,autsl
signer11_sample639_color,2,43,1,16,10,8,cov10_s8,False,0.14143884181976318,r3d_18,autsl
signer25_sample375_color,2,44,1,16,10,8,cov10_s8,False,0.13420283794403076,r3d_18,autsl
signer35_sample601_color,2,71,1,16,10,8,cov10_s8,False,0.21011243760585785,r3d_18,autsl
signer1_sample270_color,2,72,1,16,10,8,cov10_s8,False,0.13231277465820312,r3d_18,autsl
signer18_sample120_color,2,64,1,16,10,8,cov10_s8,False,0.15858840942382812,r3d_18,autsl
signer25_sample185_color,2,53,1,16,10,8,cov10_s8,False,0.08958512544631958,r3d_18,autsl
signer18_sample448_color,2,76,1,16,10,8,cov10_s8,False,0.23754529654979706,r3d_18,autsl
signer35_sample159_color,2,59,1,16,10,8,cov10_s8,False,0.23917599022388458,r3d_18,autsl
signer16_sample324_color,2,75,1,16,10,8,cov10_s8,False,0.25431931018829346,r3d_18,autsl
signer18_sample347_color,2,66,1,16,10,8,cov10_s8,False,0.10703444480895996,r3d_18,autsl
signer1_sample950_color,2,72,1,16,10,8,cov10_s8,False,0.5372740626335144,r3d_18,autsl
signer1_sample1100_color,2,70,1,16,10,8,cov10_s8,False,0.4179774820804596,r3d_18,autsl
signer1_sample509_color,2,74,1,16,10,8,cov10_s8,False,0.11733902245759964,r3d_18,autsl
signer11_sample430_color,2,44,1,16,10,8,cov10_s8,False,0.13998976349830627,r3d_18,autsl
signer1_sample169_color,2,70,1,16,10,8,cov10_s8,False,0.3123311400413513,r3d_18,autsl
signer16_sample56_color,2,69,1,16,10,8,cov10_s8,False,0.23786763846874237,r3d_18,autsl
signer25_sample220_color,2,47,1,16,10,8,cov10_s8,False,0.10162215679883957,r3d_18,autsl
signer35_sample426_color,2,62,1,16,10,8,cov10_s8,False,0.170400470495224,r3d_18,autsl
signer11_sample142_color,2,44,1,16,10,8,cov10_s8,False,0.14795757830142975,r3d_18,autsl
signer1_sample432_color,2,76,1,16,10,8,cov10_s8,False,0.16152653098106384,r3d_18,autsl
signer1_sample648_color,3,65,1,16,10,8,cov10_s8,False,0.2864920198917389,r3d_18,autsl
signer16_sample315_color,3,71,1,16,10,8,cov10_s8,False,0.35783442854881287,r3d_18,autsl
signer11_sample327_color,3,43,1,16,10,8,cov10_s8,False,0.20534291863441467,r3d_18,autsl
signer18_sample323_color,3,62,1,16,10,8,cov10_s8,False,0.16205929219722748,r3d_18,autsl
signer11_sample565_color,3,46,1,16,10,8,cov10_s8,False,0.3155267536640167,r3d_18,autsl
signer18_sample138_color,3,76,1,16,10,8,cov10_s8,False,0.09866780042648315,r3d_18,autsl
signer1_sample1092_color,3,73,1,16,10,8,cov10_s8,False,0.20231832563877106,r3d_18,autsl
signer1_sample166_color,3,59,1,16,10,8,cov10_s8,False,0.46516597270965576,r3d_18,autsl
signer25_sample212_color,3,63,1,16,10,8,cov10_s8,False,0.07365249842405319,r3d_18,autsl
signer18_sample500_color,3,76,1,16,10,8,cov10_s8,False,0.16641245782375336,r3d_18,autsl
signer25_sample536_color,3,61,1,16,10,8,cov10_s8,False,0.12633411586284637,r3d_18,autsl
signer1_sample709_color,3,68,1,16,10,8,cov10_s8,False,0.14217941462993622,r3d_18,autsl
signer11_sample341_color,3,43,1,16,10,8,cov10_s8,False,0.10269452631473541,r3d_18,autsl
signer35_sample119_color,3,78,1,16,10,8,cov10_s8,False,0.18229922652244568,r3d_18,autsl
signer1_sample68_color,3,68,1,16,10,8,cov10_s8,False,0.15721891820430756,r3d_18,autsl
signer1_sample118_color,3,63,1,16,10,8,cov10_s8,False,0.4329169690608978,r3d_18,autsl
signer16_sample14_color,3,73,1,16,10,8,cov10_s8,False,0.3780396282672882,r3d_18,autsl
signer35_sample554_color,3,73,1,16,10,8,cov10_s8,False,0.18097466230392456,r3d_18,autsl
signer25_sample92_color,3,59,1,16,10,8,cov10_s8,False,0.07347669452428818,r3d_18,autsl
signer18_sample268_color,4,65,1,16,10,8,cov10_s8,False,0.06646179407835007,r3d_18,autsl
signer16_sample77_color,4,64,1,16,10,8,cov10_s8,False,0.3038598597049713,r3d_18,autsl
signer35_sample501_color,4,82,1,16,10,8,cov10_s8,False,0.24078316986560822,r3d_18,autsl
signer35_sample93_color,4,80,1,16,10,8,cov10_s8,False,0.29375484585762024,r3d_18,autsl
signer11_sample544_color,4,48,1,16,10,8,cov10_s8,False,0.12176772952079773,r3d_18,autsl
signer16_sample102_color,4,63,1,16,10,8,cov10_s8,False,0.22615760564804077,r3d_18,autsl
signer25_sample104_color,4,59,1,16,10,8,cov10_s8,False,0.07023541629314423,r3d_18,autsl
signer25_sample109_color,4,59,1,16,10,8,cov10_s8,False,0.05620189756155014,r3d_18,autsl
signer1_sample102_color,4,66,1,16,10,8,cov10_s8,False,0.3814970850944519,r3d_18,autsl
signer1_sample653_color,4,66,1,16,10,8,cov10_s8,False,0.35371115803718567,r3d_18,autsl
signer11_sample658_color,4,41,1,16,10,8,cov10_s8,False,0.45878779888153076,r3d_18,autsl
signer1_sample1326_color,4,66,1,16,10,8,cov10_s8,False,0.3833979070186615,r3d_18,autsl
signer35_sample61_color,4,81,1,16,10,8,cov10_s8,False,0.3377535343170166,r3d_18,autsl
signer1_sample548_color,4,64,1,16,10,8,cov10_s8,False,0.2776137590408325,r3d_18,autsl
signer11_sample44_color,4,41,1,16,10,8,cov10_s8,False,0.6060799360275269,r3d_18,autsl
signer1_sample127_color,4,62,1,16,10,8,cov10_s8,False,0.5860941410064697,r3d_18,autsl
signer18_sample362_color,4,72,1,16,10,8,cov10_s8,False,0.1004970520734787,r3d_18,autsl
signer25_sample72_color,4,53,1,16,10,8,cov10_s8,False,0.05642302706837654,r3d_18,autsl
signer1_sample1040_color,4,67,1,16,10,8,cov10_s8,False,0.2324330359697342,r3d_18,autsl
signer18_sample332_color,4,75,1,16,10,8,cov10_s8,False,0.06573215872049332,r3d_18,autsl
signer18_sample343_color,5,66,1,16,10,8,cov10_s8,False,0.14610545337200165,r3d_18,autsl
signer1_sample1130_color,5,61,1,16,10,8,cov10_s8,False,0.5303044319152832,r3d_18,autsl
signer35_sample555_color,5,58,1,16,10,8,cov10_s8,False,0.3444257080554962,r3d_18,autsl
signer25_sample221_color,5,68,1,16,10,8,cov10_s8,False,0.061863627284765244,r3d_18,autsl
signer35_sample234_color,5,58,1,16,10,8,cov10_s8,False,0.18787197768688202,r3d_18,autsl
signer11_sample619_color,5,47,1,16,10,8,cov10_s8,False,0.21944336593151093,r3d_18,autsl
signer25_sample56_color,5,69,1,16,10,8,cov10_s8,False,0.08562714606523514,r3d_18,autsl
signer16_sample176_color,5,61,1,16,10,8,cov10_s8,False,0.3280092775821686,r3d_18,autsl
signer18_sample645_color,5,60,1,16,10,8,cov10_s8,False,0.21871598064899445,r3d_18,autsl
signer11_sample180_color,5,49,1,16,10,8,cov10_s8,False,0.16577757894992828,r3d_18,autsl
signer35_sample20_color,5,62,1,16,10,8,cov10_s8,False,0.2308465987443924,r3d_18,autsl
signer11_sample592_color,5,46,1,16,10,8,cov10_s8,False,0.18453599512577057,r3d_18,autsl
signer1_sample1249_color,5,61,1,16,10,8,cov10_s8,False,0.5575615167617798,r3d_18,autsl
signer1_sample511_color,5,56,1,16,10,8,cov10_s8,False,0.43991273641586304,r3d_18,autsl
signer16_sample161_color,5,67,1,16,10,8,cov10_s8,False,0.2684747278690338,r3d_18,autsl
signer25_sample423_color,5,66,1,16,10,8,cov10_s8,False,0.08875305950641632,r3d_18,autsl
signer1_sample838_color,5,61,1,16,10,8,cov10_s8,False,0.6001166701316833,r3d_18,autsl
signer1_sample282_color,5,60,1,16,10,8,cov10_s8,False,0.54093337059021,r3d_18,autsl
signer1_sample700_color,5,61,1,16,10,8,cov10_s8,False,0.38177692890167236,r3d_18,autsl
signer18_sample601_color,5,62,1,16,10,8,cov10_s8,False,0.17098604142665863,r3d_18,autsl
signer35_sample631_color,6,70,1,16,10,8,cov10_s8,False,0.3014567196369171,r3d_18,autsl
signer18_sample622_color,6,74,1,16,10,8,cov10_s8,False,0.09624044597148895,r3d_18,autsl
signer25_sample55_color,6,62,1,16,10,8,cov10_s8,False,0.13626980781555176,r3d_18,autsl
signer16_sample107_color,6,67,1,16,10,8,cov10_s8,False,0.49886277318000793,r3d_18,autsl
signer35_sample460_color,6,52,1,16,10,8,cov10_s8,False,0.12627902626991272,r3d_18,autsl
signer18_sample290_color,6,73,1,16,10,8,cov10_s8,False,0.1577419638633728,r3d_18,autsl
signer11_sample145_color,6,48,1,16,10,8,cov10_s8,False,0.46650317311286926,r3d_18,autsl
signer11_sample228_color,6,48,1,16,10,8,cov10_s8,False,0.15588533878326416,r3d_18,autsl
signer16_sample242_color,6,72,1,16,10,8,cov10_s8,False,0.8101339936256409,r3d_18,autsl
signer25_sample23_color,6,64,1,16,10,8,cov10_s8,False,0.12579253315925598,r3d_18,autsl
signer1_sample944_color,0,57,1,16,10,16,cov10_s16,False,0.6979739665985107,r3d_18,autsl
signer1_sample276_color,0,65,1,16,10,16,cov10_s16,False,0.28032660484313965,r3d_18,autsl
signer35_sample610_color,0,71,1,16,10,16,cov10_s16,True,0.27401459217071533,r3d_18,autsl
